symbol,trade_date,open,high,low,close,pct_chg,volume,amount,source_name,source_api,source_url,adjusted_type,fetched_at,source_status,error_message,retry_count,data_version,asset_type
512010.SH,20260617,0.324,0.325,0.321,0.323,0.0,9243837.0,298134541.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260618,0.322,0.331,0.32,0.326,0.93,15422510.0,503509543.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260622,0.325,0.333,0.319,0.333,2.15,16205297.0,526996497.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260623,0.332,0.341,0.331,0.333,0.0,23344229.0,786352072.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260624,0.333,0.346,0.333,0.341,2.4,28805997.0,984793914.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260625,0.337,0.344,0.333,0.341,0.0,18964283.0,640723938.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260626,0.341,0.345,0.334,0.335,-1.76,20084526.0,681316572.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260629,0.335,0.356,0.33,0.356,6.27,31899666.0,1112160597.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260630,0.354,0.355,0.347,0.35,-1.69,18166267.0,636077920.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512010.SH,20260701,0.347,0.36,0.337,0.359,2.57,32662071.0,1139789975.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:02,success,,0,v1,exchange_traded_fund
512170.SH,20240617,0.315,0.316,0.314,0.315,-0.94,7528481.0,237283360.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240618,0.316,0.317,0.311,0.313,-0.63,15012314.0,470341059.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240619,0.313,0.313,0.309,0.309,-1.28,11773105.0,365243543.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240620,0.309,0.312,0.305,0.305,-1.29,14648692.0,450686484.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240621,0.304,0.307,0.303,0.305,0.0,12379788.0,376835225.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240624,0.303,0.305,0.301,0.301,-1.31,12428162.0,376219802.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240625,0.301,0.303,0.297,0.299,-0.66,15690564.0,470452876.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240626,0.299,0.306,0.297,0.305,2.01,12645010.0,381341537.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240627,0.304,0.305,0.3,0.3,-1.64,9930411.0,299477004.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240628,0.299,0.304,0.296,0.297,-1.0,14727440.0,441272021.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240701,0.297,0.298,0.291,0.297,0.0,13947786.0,410876951.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
512170.SH,20240702,0.296,0.297,0.291,0.293,-1.35,13962750.0,409987601.0,akshare,fund_etf_hist_em,akshare://fund_etf_hist_em,none,2026-07-01T23:58:03,success,,0,v1,exchange_traded_fund
